PostId,title_length,body_length,num_subs_ans,percent_subs_ans,num_subs_t,percent_subs_t,popular_tag,avg_popularity,topic_relevance,response_time,label
18487,22,848,6.25,0.0225406410892086,24.0,0.11090386369287,4,621.75,236.6719576719577,1258.2666666666669,0.0
18489,53,1932,1.0,0.0263157894736842,8.0,0.2105263157894736,1,94.0,13.851851851851851,683.7666666666667,0.0
18495,44,374,0.6666666666666666,0.0069444444444444,7.666666666666667,0.2236111111111111,2,76.0,66.55595238095238,290.1333333333333,0.0
18497,22,505,8.0,0.0199501246882793,18.0,0.0769742310889443,1,646.5,115.45416666666667,1429.6,0.0
18498,27,412,13.5,0.0383373086861458,34.5,0.130664877757901,2,796.5,86.53571428571428,553.6833333333333,0.0
18499,26,463,16.0,0.0695652173913043,46.0,0.2,1,573.0,19.666666666666664,40.91666666666666,1.0
18501,76,421,8.0,0.0565923234151201,24.666666666666668,0.0883643154005491,3,830.0,202.0138888888889,188.01666666666668,0.0
18510,35,2217,54.0,0.0768136557610241,85.0,0.1209103840682788,1,2445.0,255.0,658.1333333333333,0.0
18513,48,2425,19.666666666666668,0.0613666427487101,36.66666666666666,0.1335165640685639,3,840.3333333333334,94.0375,501.8333333333333,0.0
18514,36,836,20.33333333333333,0.0484681081172309,43.0,0.169403990456622,3,951.3333333333334,316.8011904761905,998.3166666666668,0.0
18517,30,8423,34.0,0.0590557954321345,63.5,0.1224020946890066,2,1693.0,277.5882352941176,229.78333333333333,0.0
18518,33,323,8.0,0.0307499776526325,34.0,0.1932600339679985,2,544.0,32.17752100840336,96.95,1.0
18522,43,1441,13.0,0.0395893762376094,36.333333333333336,0.1174582472376231,3,1242.0,265.69444444444446,1136.9666666666667,0.0
18523,18,3041,25.0,0.0589084378977996,58.5,0.1362406801236588,2,1270.5,71.5202380952381,139.61666666666667,1.0
18530,47,571,11.0,0.0402066486972147,27.0,0.1045597484276729,2,765.0,132.57916666666665,282.4166666666667,0.0
18531,20,573,16.0,0.0399002493765586,35.0,0.0872817955112219,1,1278.0,109.79166666666667,859.0833333333334,0.0
18538,18,4219,2.0,0.0441595441595441,4.5,0.094017094017094,2,93.0,47.28333333333333,302.9166666666667,0.0
18544,24,402,4.0,0.0238095238095238,14.0,0.0833333333333333,1,351.0,5.6625000000000005,1026.3333333333333,0.0
18547,24,1815,18.0,0.0256045519203413,30.33333333333333,0.2736367946894262,1,820.6666666666666,255.0,57.16666666666666,1.0
18551,53,1540,28.5,0.0724421209858103,51.5,0.1316473951224537,2,1213.5,55.1625,361.1166666666667,0.0
18555,35,339,11.0,0.0628571428571428,19.0,0.1085714285714285,1,557.0,18.533333333333335,479.28333333333336,0.0
18556,25,886,12.0,0.0379392212725546,31.33333333333333,0.1020892687559354,2,575.3333333333334,87.22666666666667,377.65,0.0
18560,34,330,12.0,0.0428072675454221,26.5,0.0950694691841824,2,876.0,219.58333333333334,1196.9833333333331,0.0
18563,27,259,16.0,0.059354103343465,31.0,0.111466565349544,2,850.5,33.08690476190476,95.98333333333332,1.0
18564,47,100,16.0,0.059354103343465,31.0,0.111466565349544,2,850.5,33.08690476190476,173.75,1.0
18565,39,1481,18.0,0.0566037735849056,40.0,0.1257861635220125,1,1179.0,126.91666666666666,32.75,1.0
18570,26,2040,5.5,0.0391614906832298,14.0,0.1057763975155279,2,319.5,219.58333333333334,114.51666666666668,1.0
18574,17,1625,2.0,0.0204081632653061,11.0,0.1122448979591836,1,204.0,43.26785714285714,1106.5,0.0
18576,29,730,28.0,0.0679611650485436,44.0,0.1067961165048543,1,1362.0,38.875,32.166666666666664,1.0
18577,8,445,15.0,0.0396035956380784,40.0,0.1307839669908635,2,761.5,71.5202380952381,111.33333333333331,1.0
18579,29,670,54.0,0.0768136557610241,85.0,0.1209103840682788,1,2445.0,255.0,698.25,0.0
18583,18,417,4.0,0.0316077441077441,17.5,0.1593013468013467,2,241.0,60.52000000000001,43.3,1.0
18586,18,423,7.0,0.0598290598290598,13.0,0.1111111111111111,1,351.0,23.047619047619047,583.05,0.0
18588,28,76,3.0,0.0326086956521739,10.0,0.108695652173913,1,165.0,109.79166666666667,237.03333333333333,0.0
18594,36,518,13.666666666666666,0.0520175350090596,34.333333333333336,0.131019204008963,3,769.0,55.675140056022414,899.75,0.0
18595,32,484,29.0,0.0461758438936862,44.0,0.1215094762812605,2,1896.5,406.59523809523813,54.21666666666667,1.0
18596,32,1242,2.0,0.0249622942189211,7.25,0.1180102019037862,3,136.0,184.90999999999997,393.51666666666665,0.0
18600,32,402,9.0,0.0325537294563843,31.5,0.1244469026548672,2,610.0,45.1764705882353,10.316666666666666,1.0
18605,27,1389,18.666666666666668,0.0333564899048375,33.0,0.1171181195661,3,885.6666666666666,320.85609243697473,192.36666666666667,0.0
18607,27,592,7.666666666666667,0.0255614657210401,20.33333333333333,0.1006205673758865,2,441.6666666666667,72.3202380952381,17.933333333333334,1.0
18610,33,464,13.666666666666666,0.0365282865282865,36.0,0.1617012617012617,2,682.0,87.22666666666667,211.35,0.0
18611,24,1241,16.666666666666668,0.0392722919318664,39.0,0.0908271200824392,2,848.3333333333334,72.3202380952381,86.9,1.0
18613,30,97,12.0,0.0446096654275092,43.0,0.1598513011152416,1,615.0,255.0,32.36666666666667,1.0
18618,20,1260,10.5,0.0279255319148936,21.5,0.0571808510638297,1,574.0,15.35357142857143,115.31666666666666,1.0
18622,38,1381,12.5,0.0398302938196555,28.5,0.0988475177304964,2,747.5,20.21607142857143,831.5333333333333,0.0
18624,44,437,1.0,0.0526315789473684,4.0,0.2105263157894736,1,59.0,5.6,299.1666666666667,0.0
18625,46,106,1.0,0.0131578947368421,6.0,0.0789473684210526,1,163.0,7.607142857142857,1108.4166666666667,0.0
18629,30,243,10.5,0.0279255319148936,27.0,0.1058534174355112,2,661.0,29.107142857142858,62.93333333333333,1.0
18630,30,403,7.0,0.0332772309902354,26.33333333333333,0.1182701777544826,3,562.0,237.75476190476192,529.6666666666666,0.0
18631,21,384,0.0,0.0,5.0,0.1923076923076923,1,52.0,17.4,48.35,1.0
18632,44,510,38.0,0.0745741387484931,60.333333333333336,0.1237262025574311,3,2026.6666666666667,400.59107142857147,210.11666666666667,0.0
18641,33,1144,9.666666666666666,0.0256410256410256,28.0,0.1188328912466843,2,418.6666666666667,23.759722222222223,114.88333333333334,1.0
